t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
9 , 0.499375 , 0.257252 , -0.318643 , 0.5432 , 0.146442 , 0.572576 , 0.175195 , 0.00865026 , 0.227726 , 0.812128

t = 8
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.738492 , -0.343945 , -0.613015 , 0.650808 , 0.190323 , 0.612796 , 0.388001 , 0.66355 , 0.377596 , 0.276547
1 , 0.240409 , 0.861833 , 0.178094 , 0.473042 , 0.533169 , 0.275504 , 0.514209 , -0.542878 , -0.576316 , 0.879562
2 , 0.496384 , 0.414345 , 0.926857 , 0.628039 , 0.349511 , 0.780341 , 0.224192 , -0.468841 , 0.292713 , -0.536857
3 , 0.768309 , 0.282168 , 0.500568 , 0.732351 , 0.245861 , 0.523229 , 0.370263 , 0.410942 , 0.397053 , 0.0566912
4 , 0.5397 , 0.402691 , 0.453222 , 0.220954 , 0.720122 , 0.717476 , 0.564765 , -0.437278 , 0.660588 , 0.344786
5 , 0.138438 , -0.463897 , 0.574897 , 0.495775 , 0.616356 , 0.980546 , 0.251205 , -0.217663 , 0.322621 , 0.0290536
6 , 0.863105 , 0.274351 , 0.307662 , -0.618057 , 0.607698 , 0.134016 , 0.742562 , 0.516729 , 0.582088 , 0.0264412
7 , 0.527005 , 0.777737 , 0.745373 , 0.293453 , 0.351254 , 0.250597 , 0.545705 , -0.610576 , 0.481378 , 0.282675
8 , 0.427957 , 0.681533 , 0.585527 , 0.723528 , 0.39162 , 0.702886 , -0.457234 , 0.252388 , 0.99268 , 0.630457
9 , 0.499375 , 0.257252 , -0.254914 , 0.43456 , 0.117154 , 0.458061 , 0.175195 , 0.00865026 , 0.182181 , 0.812128

t = 9
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.738492 , -0.343945 , -0.613015 , 0.520646 , 0.152259 , 0.490237 , 0.310401 , 0.66355 , 0.377596 , 0.276547
1 , 0.240409 , 0.861833 , 0.178094 , 0.378433 , 0.426535 , 0.220403 , 0.411367 , -0.542878 , -0.576316 , 0.879562
2 , 0.496384 , 0.414345 , 0.926857 , 0.502432 , 0.279609 , 0.624273 , 0.179354 , -0.468841 , 0.292713 , -0.536857
3 , 0.768309 , 0.282168 , 0.500568 , 0.785881 , 0.396689 , 0.618583 , 0.496211 , 0.410942 , 0.397053 , 0.0566912
4 , 0.5397 , 0.402691 , 0.453222 , 0.376763 , 0.776097 , 0.773981 , 0.651812 , -0.437278 , 0.660588 , 0.344786
5 , 0.138438 , -0.463897 , 0.574897 , 0.59662 , 0.693085 , 0.984437 , 0.400964 , -0.217663 , 0.322621 , 0.0290536
6 , 0.863105 , 0.274351 , 0.307662 , -0.694446 , 0.686158 , 0.307213 , 0.79405 , 0.516729 , 0.582088 , 0.0264412
7 , 0.527005 , 0.777737 , 0.745373 , 0.234763 , 0.281003 , 0.200477 , 0.436564 , -0.610576 , 0.481378 , 0.282675
8 , 0.427957 , 0.681533 , 0.585527 , 0.578822 , 0.313296 , 0.562309 , -0.365788 , 0.252388 , 0.99268 , 0.630457
9 , 0.499375 , 0.257252 , -0.254914 , 0.347648 , 0.0937229 , 0.366449 , 0.140156 , 0.00865026 , 0.182181 , 0.812128

