t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
2 , 0.435896 , -0.296449 , 0.89758 , 0.0522216 , 0.799676 , 0.188416 , 0.031381 , 0.0680021 , 0.751335 , 0.195816
3 , 0.160222 , 0.737912 , 0.71926 , 0.862706 , 0.256172 , 0.949368 , -0.912287 , 0.794154 , 0.935789 , 0.973009
4 , -0.380779 , 0.0097903 , 0.620838 , 0.32076 , 0.762261 , 0.144924 , 0.0812625 , 0.212046 , 0.187353 , 0.0437913
5 , 0.532731 , 0.808964 , 0.31193 , 0.774183 , 0.413984 , 0.975909 , -0.889207 , 0.920218 , 0.0969573 , 0.953489
6 , -0.174108 , 0.964509 , 0.00100711 , 0.925578 , 0.80166 , 0.982589 , 0.917957 , 0.943498 , 0.425794 , 0.9868
7 , -0.0161748 , 0.982939 , 0.549883 , 0.947758 , 0.781365 , 0.733802 , 0.970949 , 0.982549 , 0.91699 , 0.878026
8 , 0.927122 , 0.0700621 , 0.450911 , -0.232587 , 0.709891 , 0.0853526 , 0.272068 , 0.299709 , 0.0908841 , 0.158035
9 , 0.773553 , 0.775613 , 0.473067 , -0.711921 , 0.193487 , 0.938538 , -0.770643 , 0.754753 , 0.873989 , -0.800144

t = 6
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.244039 , -0.839747 , 0.0211286 , 0.382366 , -0.0531456 , -0.25396 , 0.0099283 , 0.0741905 , -0.112259
1 , 0.958678 , 0.801674 , 0.652364 , -0.983343 , 0.43025 , 0.755905 , 0.978135 , -0.956911 , 0.778802 , 0.761265
2 , 0.435896 , -0.237159 , 0.89758 , 0.0417773 , 0.799676 , 0.150733 , 0.0251048 , 0.0544017 , 0.751335 , 0.156653
3 , 0.160222 , 0.79033 , 0.71926 , 0.890165 , 0.256172 , 0.959495 , -0.92983 , 0.835323 , 0.935789 , 0.978407
4 , -0.380779 , 0.00783224 , 0.620838 , 0.256608 , 0.762261 , 0.11594 , 0.06501 , 0.169637 , 0.187353 , 0.0350331
5 , 0.532731 , 0.847171 , 0.31193 , 0.819347 , 0.413984 , 0.980727 , -0.911365 , 0.936174 , 0.0969573 , 0.962791
6 , -0.174108 , 0.971607 , 0.00100711 , 0.940462 , 0.80166 , 0.986072 , 0.934366 , 0.954799 , 0.425794 , 0.98944
7 , -0.0161748 , 0.986352 , 0.549883 , 0.958207 , 0.781365 , 0.787042 , 0.976759 , 0.98604 , 0.91699 , 0.902421
8 , 0.927122 , 0.0560497 , 0.450911 , -0.18607 , 0.709891 , 0.0682821 , 0.217655 , 0.239767 , 0.0908841 , 0.126428
9 , 0.773553 , 0.820491 , 0.473067 , -0.769537 , 0.193487 , 0.950831 , -0.816514 , 0.803802 , 0.873989 , -0.840115

t = 7
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.195232 , -0.839747 , 0.0169029 , 0.382366 , -0.0425165 , -0.203168 , 0.00794264 , 0.0741905 , -0.0898075
1 , 0.958678 , 0.841339 , 0.652364 , -0.986675 , 0.43025 , 0.804724 , 0.982508 , -0.965529 , 0.778802 , 0.809012
2 , 0.435896 , -0.189727 , 0.89758 , 0.0334218 , 0.799676 , 0.120586 , 0.0200838 , 0.0435213 , 0.751335 , 0.125322
3 , 0.160222 , 0.832264 , 0.71926 , 0.912132 , 0.256172 , 0.967596 , -0.943864 , 0.868258 , 0.935789 , 0.982726
4 , -0.380779 , 0.00626579 , 0.620838 , 0.205286 , 0.762261 , 0.0927516 , 0.052008 , 0.13571 , 0.187353 , 0.0280265
5 , 0.532731 , 0.877737 , 0.31193 , 0.855477 , 0.413984 , 0.984582 , -0.929092 , 0.948939 , 0.0969573 , 0.970233
6 , -0.174108 , 0.977286 , 0.00100711 , 0.95237 , 0.80166 , 0.988857 , 0.947493 , 0.963839 , 0.425794 , 0.991552
7 , -0.0161748 , 0.989081 , 0.549883 , 0.966565 , 0.781365 , 0.829633 , 0.981407 , 0.988832 , 0.91699 , 0.921937
8 , 0.927122 , 0.0448398 , 0.450911 , -0.148856 , 0.709891 , 0.0546257 , 0.174124 , 0.191814 , 0.0908841 , 0.101142
9 , 0.773553 , 0.856392 , 0.473067 , -0.81563 , 0.193487 , 0.960664 , -0.853212 , 0.843042 , 0.873989 , -0.872092

t = 8
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.156185 , -0.839747 , 0.0135223 , 0.382366 , -0.0340132 , -0.162534 , 0.00635411 , 0.0741905 , -0.071846
1 , 0.958678 , 0.873071 , 0.652364 , -0.98934 , 0.43025 , 0.843779 , 0.986007 , -0.972423 , 0.778802 , 0.847209
2 , 0.435896 , -0.151782 , 0.89758 , 0.0267375 , 0.799676 , 0.0964689 , 0.0160671 , 0.0348171 , 0.751335 , 0.100258
3 , 0.160222 , 0.865811 , 0.71926 , 0.929705 , 0.256172 , 0.974077 , -0.955091 , 0.894607 , 0.935789 , 0.986181
4 , -0.380779 , 0.00501263 , 0.620838 , 0.164229 , 0.762261 , 0.0742013 , 0.0416064 , 0.108568 , 0.187353 , 0.0224212
5 , 0.532731 , 0.90219 , 0.31193 , 0.884382 , 0.413984 , 0.987666 , -0.943274 , 0.959151 , 0.0969573 , 0.976186
6 , -0.174108 , 0.981829 , 0.00100711 , 0.961896 , 0.80166 , 0.991086 , 0.957994 , 0.971071 , 0.425794 , 0.993241
7 , -0.0161748 , 0.991265 , 0.549883 , 0.973252 , 0.781365 , 0.863707 , 0.985126 , 0.991065 , 0.91699 , 0.937549
8 , 0.927122 , 0.0358718 , 0.450911 , -0.119085 , 0.709891 , 0.0437005 , 0.139299 , 0.153451 , 0.0908841 , 0.0809138
9 , 0.773553 , 0.885114 , 0.473067 , -0.852504 , 0.193487 , 0.968531 , -0.882569 , 0.874433 , 0.873989 , -0.897674

t = 9
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.124948 , -0.839747 , 0.0108179 , 0.382366 , -0.0272106 , -0.130027 , 0.00508329 , 0.0741905 , -0.0574768
1 , 0.958678 , 0.898457 , 0.652364 , -0.991472 , 0.43025 , 0.875023 , 0.988805 , -0.977938 , 0.778802 , 0.877768
2 , 0.435896 , -0.121426 , 0.89758 , 0.02139 , 0.799676 , 0.0771751 , 0.0128536 , 0.0278536 , 0.751335 , 0.0802062
3 , 0.160222 , 0.892649 , 0.71926 , 0.943764 , 0.256172 , 0.979261 , -0.964073 , 0.915685 , 0.935789 , 0.988945
4 , -0.380779 , 0.00401011 , 0.620838 , 0.131383 , 0.762261 , 0.059361 , 0.0332851 , 0.0868542 , 0.187353 , 0.0179369
5 , 0.532731 , 0.921752 , 0.31193 , 0.907505 , 0.413984 , 0.990132 , -0.954619 , 0.967321 , 0.0969573 , 0.980949
6 , -0.174108 , 0.985463 , 0.00100711 , 0.969517 , 0.80166 , 0.992869 , 0.966395 , 0.976857 , 0.425794 , 0.994593
7 , -0.0161748 , 0.993012 , 0.549883 , 0.978602 , 0.781365 , 0.890965 , 0.988101 , 0.992852 , 0.91699 , 0.95004
8 , 0.927122 , 0.0286975 , 0.450911 , -0.0952677 , 0.709891 , 0.0349604 , 0.111439 , 0.122761 , 0.0908841 , 0.0647311
9 , 0.773553 , 0.908091 , 0.473067 , -0.882003 , 0.193487 , 0.974825 , -0.906055 , 0.899547 , 0.873989 , -0.918139

t = 10
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.0999586 , -0.839747 , 0.00865429 , 0.382366 , -0.0217684 , -0.104022 , 0.00406663 , 0.0741905 , -0.0459815
1 , 0.958678 , 0.918766 , 0.652364 , -0.993178 , 0.43025 , 0.900019 , 0.991044 , -0.982351 , 0.778802 , 0.902214
2 , 0.435896 , -0.0971404 , 0.89758 , 0.017112 , 0.799676 , 0.0617401 , 0.0102829 , 0.0222829 , 0.751335 , 0.064165
3 , 0.160222 , 0.914119 , 0.71926 , 0.955011 , 0.256172 , 0.983409 , -0.971258 , 0.932548 , 0.935789 , 0.991156
4 , -0.380779 , 0.00320809 , 0.620838 , 0.105107 , 0.762261 , 0.0474888 , 0.0266281 , 0.0694834 , 0.187353 , 0.0143495
5 , 0.532731 , 0.937401 , 0.31193 , 0.926004 , 0.413984 , 0.992106 , -0.963695 , 0.973857 , 0.0969573 , 0.984759
6 , -0.174108 , 0.98837 , 0.00100711 , 0.975613 , 0.80166 , 0.994295 , 0.973116 , 0.981485 , 0.425794 , 0.995674
7 , -0.0161748 , 0.99441 , 0.549883 , 0.982881 , 0.781365 , 0.912772 , 0.990481 , 0.994282 , 0.91699 , 0.960032
8 , 0.927122 , 0.022958 , 0.450911 , -0.0762141 , 0.709891 , 0.0279683 , 0.0891513 , 0.0982087 , 0.0908841 , 0.0517849
9 , 0.773553 , 0.926473 , 0.473067 , -0.905602 , 0.193487 , 0.97986 , -0.924844 , 0.919637 , 0.873989 , -0.934511

